X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,program_class
0.80336076,0.891429961,0.291782349,-0.13347204,-0.589369953,-0.872625291,-0.892155349,-0.455648631,-0.114277042,-0.204636112,-0.478895336,-0.99435395,0.446710289,-0.277856499,-0.61001122,0.242464721,-0.517779112,0.613434434,-0.321874529,0.894382477,2.27349854,-0.507449925,-0.729292035,-0.685958922,0.0948262662,-0.521199048,-0.381330997,-0.0195590258,-0.357854962,-0.720856249,-0.353706211,-0.352238238,0.151994273,-0.344727039,-0.349244058,-0.428277999,0.326754093,0.545886219,-0.847576261,-0.641702056,-0.560065389,0.118289545,-0.430022538,0.755850732,1.69559574,0.569801033,-0.261241287,-0.052639015,0.302074641,-0.00114598626,1.64643383,1.93376255,0.10852018,0.262699932,-0.289674282,-0.575446129,-0.767863393,0.294660687,-0.269901156,0.435714275,-0.218788713,-0.272446722,-0.00840270519,-0.302756429,-0.46606949,-0.615287542,-0.933819592,-0.463327706,-0.393459111,-0.603848994,0.496872544,-0.652322412,-0.462177098,1.30735803,0.807997108,-0.239072531,-0.457426667,-0.441871047,-0.152282789,-0.102238744,0.246627212,-0.341160178,-0.468770891,-0.634634674,-0.426230162,-0.783930779,-0.433621585,0.610860825,0.50199616,0.387467027,-0.572939575,0.227704585,-0.156446606,0.838077903,0.167660296,-0.340319574,0.0849746019,0.781899989,-0.00796669442,-0.350442648,0
1.7530627,0.34748554,0.60096586,-0.24763092,-0.70326215,-0.8926215,-0.69380176,-0.5065799,-0.25975114,-0.20917496,-0.4920959,-0.97068405,0.641704,-0.2551862,-0.5608754,1.1870171,0.24175256,0.92578983,-0.33968624,0.800381,1.4280093,-0.5290489,-0.592089,-0.6244281,0.5563916,-0.4251468,-0.3558523,-0.0219256,-0.4105197,-0.53662795,0.07627769,-0.57069695,0.2803554,-0.01721342,-0.35971344,-0.31869695,0.15290557,0.22289056,-0.80527586,-0.6759496,-0.46803182,-0.3738228,-0.3923509,1.2364633,1.6538532,1.7257323,-0.39974067,-0.60268164,-0.43995082,0.19988924,1.7727015,2.227003,0.1785491,-0.25341973,-0.51725256,-0.6708471,-0.9632178,0.03829737,-0.3623882,0.17432404,-0.23031303,-0.45333576,0.39588803,-0.3432535,-0.50383246,-0.4669689,-0.73552626,-0.43220538,-0.43495253,-0.70751107,0.31573474,-0.6037664,-0.37974393,2.2209253,1.1389867,-0.47366473,-0.3008852,-0.49878654,-0.29761457,-0.18866022,0.4842994,-0.16479753,-0.4836911,-0.7166175,-0.56724083,-0.71653795,-0.48750204,0.9487506,-0.37867507,0.70280206,-0.43156046,0.3479367,-0.29180276,1.7718005,-0.08022338,-0.34209856,-0.05091344,1.2209054,0.6172356,-0.5467658,1
1.6151614,0.21018238,0.44443902,-0.34729064,-0.6981797,-0.904133,-0.6658732,-0.5325331,-0.31583557,-0.21351418,-0.48112333,-0.9531524,0.5511152,-0.27578557,-0.53181064,1.0780904,0.3838599,0.98896646,-0.37480444,0.5434831,1.4912312,-0.55394906,-0.649885,-0.60391915,0.59107286,-0.419603,-0.32744992,0.33324435,-0.44005677,-0.50559217,0.14375508,-0.54557735,0.16088225,-0.09761685,-0.3208928,-0.31226382,0.22640824,0.27144432,-0.6703629,-0.7013716,-0.46124712,-0.39595243,-0.37175685,1.0639017,1.1578046,1.8707422,-0.4588584,-0.46630332,-0.46274328,0.17024094,1.9572324,1.6773956,-0.00502956,-0.3328208,-0.52031535,-0.6688097,-0.9489571,-0.09217393,-0.4094686,-0.01805629,-0.22012098,-0.4769478,0.2979385,-0.47290263,-0.48492774,-0.46868464,-0.71335196,-0.49200916,-0.43810505,-0.66934437,0.5057513,-0.5940913,-0.40284845,1.8540488,1.0308012,-0.16087183,-0.39456055,-0.43536264,-0.29843003,-0.15124062,0.2997981,-0.16439469,-0.44705713,-0.72083956,-0.56735647,-0.6925814,-0.49216393,0.6558177,-0.39644796,0.4617822,-0.43482614,0.23089287,-0.09152089,2.1768434,-0.15440843,-0.32699093,-0.06696598,0.93438804,0.9129714,-0.57336396,1
1.5549067,0.49778506,-0.15081836,-0.30300468,-0.85294074,-1.1780819,-0.8133979,-0.6602738,-0.22633609,-0.26598862,-0.59781355,-1.1723639,0.1345025,-0.34460074,-0.85109395,0.3053244,-0.539099,0.76640964,-0.51856375,0.12879649,2.5383677,-0.67835575,-0.8475725,-0.56634504,-0.29023898,-0.84170234,0.45446503,-0.2005234,-0.4448777,-1.0161022,-0.27991077,0.02654155,-0.2214666,-0.52212024,-0.3841361,-0.4774073,-0.30770305,1.1451042,-1.0710828,-0.71238756,-0.5632869,-0.29799885,-0.6585551,1.8487252,0.7476691,0.2917184,-0.29990184,-0.08250062,-0.11263758,0.07017627,3.0031025,0.7742305,-0.26104823,0.03693663,-0.8476717,-0.9709799,-0.75509965,2.1981254,-0.46522602,0.7135543,-0.16094284,-0.52127737,-0.23229837,-0.6706405,-0.38224822,-0.69477224,-0.8860106,-0.71406794,-0.3871167,-0.6378434,-0.07810122,-0.9458185,-0.5736331,0.9239789,0.21258089,0.66584766,-0.87474674,-0.40302682,-0.21851757,-0.2719852,-0.24536844,-0.2577125,-0.38952625,-0.6678152,-0.44892904,-1.0917921,-0.50231785,0.0820316,0.2858875,1.8403465,-0.69457734,-0.2568185,-0.56854177,1.670732,-0.36140248,-0.51708347,-0.12167639,0.6755986,-0.29715157,-0.50065005,2
1.304517,0.7741867,-0.01705747,-0.29579428,-0.66490316,-1.032231,-0.86054975,-0.78253317,-0.35207146,-0.06154436,-0.50187725,-1.0079001,0.8516575,-0.27992687,-0.65847385,0.66774553,0.04599949,1.1240861,-0.41508514,0.4677955,1.7186391,-0.6455022,-0.7495755,-0.6371769,0.2610773,-0.6285676,-0.13953504,-0.14447257,-0.44281265,-0.6766123,-0.01515815,-0.11812603,-0.19329338,-0.54786277,-0.20796832,-0.43911347,0.05903525,0.53270465,-0.8298113,-0.7462571,-0.5542182,-0.35258228,-0.42826015,0.5253331,1.1292546,0.99034244,-0.17588672,-0.31044364,-0.46700832,0.30742526,2.060115,1.5106353,-0.10808653,-0.22812143,-0.45575058,-0.6760632,-0.7792053,0.7038968,-0.34121275,0.08772982,-0.22630474,-0.45371887,0.09715695,-0.3871494,-0.4283852,-0.5136563,-0.6489443,-0.5416132,-0.3524778,-0.72007394,0.12056093,-0.70156324,-0.45752943,1.4011106,0.6564672,-0.06898913,-0.41435748,-0.37873673,-0.12724327,-0.24038734,0.18284893,-0.02072624,-0.32682738,-0.6282705,-0.3846928,-0.8278005,-0.44810683,0.5383853,-0.01407145,0.6951619,-0.57117593,-0.01244452,-0.5216204,1.720569,-0.25935647,-0.3582776,0.12765716,0.74605656,0.14147553,-0.5809735,2
0.7952897,1.6420995,-0.15146439,-0.27978626,-0.55859387,-0.82174385,-1.3539989,-0.64756835,-0.44177994,0.09022202,-0.6466364,-1.0615445,-0.08802915,-0.2744786,-0.84407765,-0.13606517,-0.40688625,1.541399,-0.35918045,0.65545845,2.268142,-0.6301495,-0.71042377,-0.64617985,0.96413815,-0.980658,0.01539494,-0.14884195,-0.3657761,-0.76077676,0.9428434,0.8194187,-0.22695175,-0.62175167,-0.26036417,-0.5388171,0.08826284,0.15823175,-0.87915087,-0.801256,-0.54424894,-0.45629966,-0.4076081,1.7166989,1.1879286,0.7819977,-0.45688722,0.8596485,-0.62321293,0.11721916,1.8985003,1.7465017,-0.48031035,-0.40688694,-0.7697497,-0.7452293,-0.7798768,0.21626382,-0.49995494,-0.14559256,0.06630562,-0.4339789,0.20199321,-0.65960824,-0.48047605,-0.6859713,-0.7857526,-0.7234368,-0.48727158,-0.6853191,0.13984348,-0.82559466,-0.49964544,1.0631351,0.37847582,-0.38778165,-0.14975001,-0.07678445,-0.28213745,0.2509072,0.25286403,-0.37639976,-0.30662972,-0.76828706,-0.68903846,-0.9954556,-0.49354053,0.86369073,-0.19111934,0.787511,-0.6657081,0.40267968,-0.03930322,1.4959998,0.31972837,-0.42329952,-0.0029986,0.50885516,0.30715236,-0.5045439,3
1.3020517,0.41597873,0.34107411,-0.24105461,-0.65949333,-0.90637237,-0.73968387,-0.54190302,-0.27021348,-0.14164169,-0.48562121,-0.89139473,0.61626476,-0.2477278,-0.45282465,0.88891423,-0.19122742,0.78446782,-0.29585978,1.0148582,1.2951745,-0.55770856,-0.46077633,-0.68217111,0.30010262,-0.33103538,-0.3674069,0.11896072,-0.37621123,-0.57658184,-0.1270916,-0.61524332,0.2779783,-0.21000455,-0.41558397,-0.29087114,0.37448195,-0.041814107,-0.70611662,-0.63817126,-0.49657229,-0.42372611,-0.40509152,0.82585418,1.7587837,1.0273064,-0.36280799,-0.45095402,-0.4048883,0.39246678,1.1376867,2.3743677,0.23893936,-0.35281405,-0.47892579,-0.63034785,-0.92381215,-0.0070728213,-0.33094901,0.10217172,-0.25009602,-0.3646464,0.38862696,-0.3435429,-0.51097977,-0.50734168,-0.72144455,-0.45905221,-0.414002,-0.7161079,0.43474132,-0.57063025,-0.36459801,2.0748839,1.1931477,-0.13540375,-0.19788224,-0.45876265,-0.25247848,-0.11229094,0.67852002,-0.10237351,-0.41080245,-0.62085867,-0.47254825,-0.6994071,-0.44701463,1.053075,-0.20372528,0.84536928,-0.38564014,0.3103846,0.064434133,1.4186074,-0.18166715,-0.36414289,-0.00010200776,1.1410041,0.59851015,-0.49199691,1
0.54962826,1.3921657,-0.02905088,-0.18996878,-0.6234641,-1.0149618,-0.99064535,-0.8176031,-0.3611418,-0.02256069,-0.5467984,-0.97553974,0.8704265,-0.25014257,-0.66853005,0.6840137,-0.2598252,0.922917,-0.42228043,0.5291983,2.1766312,-0.620822,-0.7278414,-0.6768225,0.01677765,-0.6164955,-0.38003188,-0.27156484,-0.4606593,-0.64418167,-0.24399605,-0.24125114,-0.24740803,-0.58360815,0.13227184,-0.45864823,0.225141,0.21594845,-0.7515272,-0.75910896,-0.5931333,-0.40300125,-0.41271135,0.14583099,1.0351229,0.42426264,-0.13060983,-0.24494393,-0.41605887,0.36463872,1.3090147,1.602404,-0.07694365,-0.38426182,-0.37015146,-0.6012255,-0.87171185,0.09867319,-0.31155983,-0.13366258,-0.17976099,-0.368305,0.03822479,-0.331483,-0.542004,-0.65342367,-0.63714427,-0.50963485,-0.34028867,-0.8112677,0.2460796,-0.58033216,-0.43773738,1.2396996,0.9192711,-0.36256853,-0.31751826,-0.46905926,0.2910828,-0.16414104,0.1199866,0.00374904,-0.3440831,-0.57426524,-0.2888443,-0.79613316,-0.4281242,0.5259784,0.22976112,0.21364841,-0.573669,0.07520652,-0.50804347,1.0475612,0.08779334,-0.340901,0.533004,0.4536094,-0.06771685,-0.559245,2
0.93027282,1.2363548,-0.099352606,-0.30578884,-0.56662846,-0.83389956,-1.244877,-0.66146225,-0.40649807,0.060964052,-0.60728848,-1.0360049,0.08193472,-0.25953573,-0.78951812,-0.003159788,-0.39914948,1.4466078,-0.34297091,0.83908361,2.0151317,-0.60472441,-0.61396009,-0.68642914,0.61673051,-0.80933958,-0.15307206,-0.22585429,-0.36018592,-0.68545604,0.69235694,0.28992298,-0.16982421,-0.58456123,-0.30536327,-0.54262787,0.17732842,0.14131078,-0.85348558,-0.80841392,-0.56081629,-0.46767935,-0.41512641,1.2593873,1.4678261,0.89498872,-0.37795052,0.34503153,-0.5837276,0.2258099,1.8899854,2.2254415,-0.3508451,-0.43220553,-0.69254267,-0.71393466,-0.75785995,0.065593496,-0.47480619,-0.1407025,0.022231421,-0.42376974,0.39168945,-0.5745976,-0.49220106,-0.62812763,-0.76031679,-0.74446625,-0.4843809,-0.76219267,0.15249357,-0.77604216,-0.46892017,1.33671,0.46281677,-0.40961486,-0.0018636137,-0.077633992,-0.27595377,0.086200111,0.58585316,-0.32058367,-0.31639025,-0.73801136,-0.64146072,-0.94755214,-0.49622291,1.0230291,-0.15020046,1.0170797,-0.59258568,0.4064596,-0.053777784,1.6479931,0.025137836,-0.43041736,0.0072096991,0.6559484,0.472976,-0.50302416,3
0.7263191,1.5324166,-0.10810884,-0.10419653,-0.61453176,-0.855022,-0.9153574,-0.44380012,-0.11869229,-0.20489293,-0.54897124,-0.81468344,-0.14044176,-0.22902966,-0.643116,-0.16104776,-0.47332916,0.10907094,-0.31151018,1.3858566,1.6403147,-0.54940015,-0.6131579,-0.6418929,-0.08209988,-0.54903203,-0.45571202,0.12135708,-0.47102806,-0.6361839,-0.3574556,-0.5676158,0.26679784,-0.35999256,-0.0077239,-0.4713824,0.13506696,0.14760338,-0.6196241,-0.49989516,-0.49871984,-0.40350965,-0.37692952,0.08280432,2.136457,0.39713576,-0.44321755,-0.14104372,-0.04858061,-0.14829661,0.88140166,2.904035,-0.2074705,-0.3983764,-0.6620616,-0.64081436,-0.8297801,-0.12389103,-0.34393185,-0.09404132,0.01529819,-0.26382712,0.19627014,-0.37000453,-0.5041036,-0.73342776,-0.8590627,-0.4599224,-0.39419088,-0.68249774,0.16997221,-0.46793938,-0.38808823,2.4305916,1.4192808,0.03673548,-0.04586896,-0.34337303,0.347351,-0.05699836,0.5997481,-0.40450138,-0.31207502,-0.5335375,-0.23842654,-0.67980283,-0.4219321,1.2204823,0.16301708,0.6533312,-0.4293883,0.47092268,0.08535424,0.7092426,0.08514826,-0.34894082,0.20360355,0.9862967,0.26891553,-0.34424797,4
